accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1930772,Lepidoptera,Lycaenidae,Thecla,Ministrymon una,,Ministrymon una,Thecla una,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930093,Lepidoptera,Lycaenidae,Thecla,Ministrymon zilda,,Ministrymon zilda,Thecla zilda,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930451,Lepidoptera,Lycaenidae,Thecla,Strephonota ambrax,,Strephonota ambrax,Thecla ambrax,99,SYNONYM,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Strephonota azurinus,,Strephonota azurinus,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Strephonota ericeta,,Strephonota ericeta,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1930541,Lepidoptera,Lycaenidae,Thecla,Strephonota malvania,,Strephonota malvania,Thecla malvania,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930760,Lepidoptera,Lycaenidae,Thecla,Strephonota syedra,,Strephonota syedra,Thecla syedra,99,SYNONYM,EXACT,SPECIES,London19Oct2023
4300268,Lepidoptera,Lycaenidae,Strephonota,Strephonota tephraeus,,Strephonota tephraeus,Strephonota tephraeus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1921122,Lepidoptera,Lycaenidae,Tmolus,Tmolus crolinus,,Tmolus crolinus,Tmolus crolinus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1930410,Lepidoptera,Lycaenidae,Thecla,Tmolus cydrara,,Tmolus cydrara,Thecla cydrara,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1921123,Lepidoptera,Lycaenidae,Tmolus,Tmolus echion,,Tmolus echion,Tmolus echion,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1930770,Lepidoptera,Lycaenidae,Thecla,Tmolus mutina,,Tmolus mutina,Thecla mutina,99,SYNONYM,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Arawacus hypocrita,,Arawacus hypocrita,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1932879,Lepidoptera,Lycaenidae,Dolymorpha,Arawacus jada,,Arawacus jada,Dolymorpha jada,99,SYNONYM,EXACT,SPECIES,London19Oct2023
9478718,Lepidoptera,Lycaenidae,Arawacus,Arawacus lincoides,,Arawacus lincoides,Arawacus lincoides,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
8992718,Lepidoptera,Lycaenidae,Arawacus,Arawacus sito,,Arawacus sito,Arawacus sito,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9157410,Lepidoptera,Lycaenidae,Arawacus,Arawacus togarna,,Arawacus togarna,Arawacus togarna,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1929806,Lepidoptera,Lycaenidae,Thecla,Hypostrymon asa,,Hypostrymon asa,Thecla asa,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1930361,Lepidoptera,Lycaenidae,Thecla,Panthiades bathildis,,Panthiades bathildis,Thecla bathildis,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1929046,Lepidoptera,Lycaenidae,Panthiades,Panthiades bitias,,Panthiades bitias,Panthiades bitias,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1929043,Lepidoptera,Lycaenidae,Panthiades,Panthiades ochus,,Panthiades ochus,Panthiades ochus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
