accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
9214876,Lepidoptera,Uraniidae,Europlema,Europlema semibrunnea,Europlema semibrunnea,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1953321,Lepidoptera,Uraniidae,Monobolodes,Monobolodes parvinigrata,Monobolodes parvinigrata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6132731,Lepidoptera,Uraniidae,Monobolodes,Monobolodes prunaria,Monobolodes prunaria,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1953949,Lepidoptera,Uraniidae,Phazaca,Phazaca erosioides,Phazaca erosioides,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5143258,Lepidoptera,Uraniidae,Acropteris,Acropteris grammearia,Acropteris grammearia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5143252,Lepidoptera,Uraniidae,Acropteris,Acropteris rectinervata,Acropteris rectinervata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1953423,Lepidoptera,Uraniidae,Micronia,Micronia aculeata,Micronia aculeata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1953196,Lepidoptera,Uraniidae,Lyssa,Lyssa zampa,Lyssa zampa,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1954120,Lepidoptera,Uraniidae,Urapteroides,Urapteroides astheniata,Urapteroides astheniata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1754411,Lepidoptera,Zygaenidae,Anarbudas,Anarbudas bipartita,Anarbudas bipartita,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11605327,Lepidoptera,Zygaenidae,Boradiopsis,Boradiopsis bipartita,Boradiopsis bipartita,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11461995,Lepidoptera,Zygaenidae,Boradiopsis,Boradiopsis harmani,Boradiopsis harmani,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11461995,Lepidoptera,Zygaenidae,Boradiopsis,Boradiopsis harmani ,Boradiopsis harmani,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6208150,Lepidoptera,Zygaenidae,Chalcosia,Chalcosia coliadoides,Chalcosia phalaenaria,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
5108266,Lepidoptera,Zygaenidae,Cyclosia,Cyclosia inclusus,Cyclosia inclusus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5108256,Lepidoptera,Zygaenidae,Cyclosia,Cyclosia macularia,Cyclosia macularia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
