accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1863388,Lepidoptera,Sphingidae,Enpinanga,Enpinanga borneensis,"Butler,1879",Enpinanga borneensis,Enpinanga borneensis,99,ACCEPTED,EXACT,SPECIES,London06October2023,35
1863393,Lepidoptera,Sphingidae,Enpinanga,Enpinanga vigens,,Enpinanga vigens,Enpinanga vigens,99,ACCEPTED,EXACT,SPECIES,London06October2023,11
1863904,Lepidoptera,Sphingidae,Eupanacra,Eupanacra elegantulus,,Eupanacra elegantulus,Eupanacra elegantulus,99,ACCEPTED,EXACT,SPECIES,London06October2023,52
1863910,Lepidoptera,Sphingidae,Eupanacra,Eupanacra mydon,,Eupanacra mydon,Eupanacra mydon,99,ACCEPTED,EXACT,SPECIES,London06October2023,41
1863907,Lepidoptera,Sphingidae,Eupanacra,Eupanacra regularis,,Eupanacra regularis,Eupanacra regularis,99,ACCEPTED,EXACT,SPECIES,London06October2023,27
5124059,Lepidoptera,Sphingidae,Eurypteryx,Eurypteryx bhaga,"Moore,1865",Eurypteryx bhaga,Eurypteryx bhaga,99,ACCEPTED,EXACT,SPECIES,London06October2023,16
1862318,Lepidoptera,Sphingidae,Hippotion,Hippotion boerhaviae,,Hippotion boerhaviae,Hippotion boerhaviae,99,ACCEPTED,EXACT,SPECIES,London06October2023,32
1862293,Lepidoptera,Sphingidae,Hippotion,Hippotion celerio,,Hippotion celerio,Hippotion celerio,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1862328,Lepidoptera,Sphingidae,Hippotion,Hippotion echeclus,,Hippotion echeclus,Hippotion echeclus,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1862363,Lepidoptera,Sphingidae,Hippotion,Hippotion rosetta,"Swinhoe, 1892",Hippotion rosetta,Hippotion rosetta,99,ACCEPTED,EXACT,SPECIES,London06October2023,391
5124415,Lepidoptera,Sphingidae,Macroglossum,Macroglossum bombylans,,Macroglossum bombylans,Macroglossum bombylans,99,ACCEPTED,EXACT,SPECIES,London06October2023,82
11954157,Lepidoptera,Sphingidae,Macroglossum,Macroglossum corythus,"Walker, 1856",Macroglossum corythus,Macroglossum corythus,99,ACCEPTED,EXACT,SPECIES,London06October2023,47
5124348,Lepidoptera,Sphingidae,Macroglossum,Macroglossum divergens,,Macroglossum divergens,Macroglossum divergens,98,ACCEPTED,EXACT,SPECIES,London06October2023,41
5124358,Lepidoptera,Sphingidae,Macroglossum,Macroglossum multifascia,"Rothschild & Jordan,1903",Macroglossum multifascia,Macroglossum multifascia,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5124414,Lepidoptera,Sphingidae,Macroglossum,Macroglossum prometheus,,Macroglossum prometheus,Macroglossum prometheus,99,ACCEPTED,EXACT,SPECIES,London06October2023,6
5124332,Lepidoptera,Sphingidae,Macroglossum,Macroglossum pyrrhosticta,,Macroglossum pyrrhosticta,Macroglossum pyrrhosticta,98,ACCEPTED,EXACT,SPECIES,London06October2023,223
5124374,Lepidoptera,Sphingidae,Macroglossum,Macroglossum sitiene,"Walker, 1856",Macroglossum sitiene,Macroglossum sitiene,99,ACCEPTED,EXACT,SPECIES,London06October2023,77
5124402,Lepidoptera,Sphingidae,Macroglossum,Macroglossum variegatum,"Rothschild & Jordan, 1903",Macroglossum variegatum,Macroglossum variegatum,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
6106759,Lepidoptera,Sphingidae,Neogurelca,Neogurelca hyas,"Walker, 1856",Neogurelca hyas,Neogurelca hyas,98,ACCEPTED,EXACT,SPECIES,London06October2023,105
1863944,Lepidoptera,Sphingidae,Pergesa,Pergesa acteus,"Cramer, 1779",Pergesa acteus,Pergesa acteus,99,ACCEPTED,EXACT,SPECIES,London06October2023,489
1862517,Lepidoptera,Sphingidae,Theretra,Theretra alecto,,Theretra alecto,Theretra alecto,99,ACCEPTED,EXACT,SPECIES,London06October2023,205
1862430,Lepidoptera,Sphingidae,Theretra,Theretra clotho,,Theretra clotho,Theretra clotho,98,ACCEPTED,EXACT,SPECIES,London06October2023,117
-1,NotAvail,NotAvail,NotAvail,Theretra clotho clotho,"Drury, 1773","Theretra clotho clotho Drury, 1773",NotAvail,99,NotAvail,NONE,NotAvail,London06October2023,0
1862526,Lepidoptera,Sphingidae,Theretra,Theretra latreillii,,Theretra latreillii,Theretra latreillii,99,ACCEPTED,EXACT,SPECIES,London06October2023,485
